pitcher_mlb_id,pitchername,year_played,num_pitches,pitcher_height,x0,z0,arm_angle,pitch_extension_cleaned,arm_slot
608032,Carlos Estévez,2023,1004.0,78.0,-1.51,5.62,54.58955170914824,6.36,Three-Quarters
608328,Chase De Jong,2023,226.0,76.0,-1.07,6.19,31.137467307089445,5.96,Three-Quarters
608331,Max Fried,2023,958.0,76.0,1.16,5.88,37.07011504699535,6.5,Three-Quarters
608337,Lucas Giolito,2023,2706.0,78.0,-1.12,6.18,34.508522987668385,6.82,Three-Quarters
608344,Cole Irvin,2023,1179.0,76.0,1.24,6.08,37.09196990872706,6.35,Three-Quarters
608348,Carson Kelly,2023,52.0,74.0,-1.65,7.23,29.716921909378378,4.76,Overhand
608371,Lucas Sims,2023,943.0,74.0,-1.88,5.6,55.54892198261431,5.69,Three-Quarters
608379,Michael Wacha,2023,1858.0,78.0,-1.38,6.42,36.308692464115154,6.69,Three-Quarters
608566,Germán Márquez,2023,304.0,73.0,-1.55,5.94,42.41731697438303,5.41,Three-Quarters
608638,JT Chargois,2023,578.0,75.0,-1.67,5.17,64.45928528534625,6.3,Sidearm
608665,Kendall Graveman,2023,1015.0,74.0,-0.93,5.66,34.545265689697544,6.45,Three-Quarters
608678,Dominic Leone,2023,758.0,70.0,-2.22,5.63,54.60128245761638,6.525,Three-Quarters
608717,Chris Stratton,2023,1191.0,74.0,-1.72,5.73,50.520054303431564,6.64,Three-Quarters
608718,Brent Suter,2023,999.0,76.0,3.04,6.2,59.63425850734236,7.28,Three-Quarters
608723,Austin Voth,2023,667.0,74.0,-2.44,5.58,62.3293269982672,6.36,Sidearm
611093,Silvino Bracho,2023,126.0,70.0,-1.42,5.36,47.35701357027442,6.03,Three-Quarters
612434,Miguel Castro,2023,896.0,79.0,-2.2,4.95,81.37234319917428,6.75,Sidearm
613534,Austin Adams,2023,363.0,75.0,-3.3,5.21,75.62930849843463,5.83,Sidearm
613564,Jason Vosler,2023,25.0,73.0,-1.59,6.75,33.47426523379187,4.09,Three-Quarters
614179,José Ruiz,2023,826.0,73.0,-1.22,6.08,33.885323952681325,6.0,Three-Quarters
615698,Cal Quantrill,2023,1255.0,75.0,-1.08,6.16,31.139011102941947,6.47,Three-Quarters
620454,José Castillo,2023,23.0,78.0,2.61,5.8,64.37977108020397,6.28,Sidearm
621016,Jose Cuas,2023,1016.0,75.0,-3.85,4.1,94.13175328093482,6.38,Submarine
621051,Steven Wilson,2023,942.0,75.0,-2.575,5.32,70.48183069307578,6.88,Sidearm
621057,Justin Garza,2023,357.0,70.0,-1.7,5.4,52.063089866996734,6.035,Three-Quarters
621074,Michael Rucker,2023,720.0,73.0,-2.01,5.47,58.65595306964569,6.31,Three-Quarters
621076,James Kaprielian,2023,1097.0,75.0,-2.6,5.8,61.550053704104215,6.07,Sidearm
621107,Zach Eflin,2023,2251.0,78.0,-2.06,5.81,58.28962413191174,6.62,Three-Quarters
621112,Paul Blackburn,2023,1554.0,73.0,-1.89,5.84,49.96845367418701,6.35,Three-Quarters
621139,Brooks Kriske,2023,92.0,75.0,-1.18,5.94,37.371918000746064,6.26,Three-Quarters
621219,Alec Mills,2023,40.0,76.0,-2.6,5.61,65.9137225966077,6.24,Sidearm
621237,José Alvarado,2023,587.0,74.0,1.12,6.44,27.726441862870843,6.86,Overhand
621244,José Berríos,2023,2567.0,72.0,-2.13,5.52,58.28865413476199,6.51,Three-Quarters
621249,Duane Underwood Jr.,2023,340.0,74.0,-2.19,6.0,52.2418668589162,6.395,Three-Quarters
621294,Ben Heller,2023,295.0,75.0,-2.11,5.43,62.90689207402182,6.32,Sidearm
