Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Corbin Burnes,3274,3.470244757,,6.337533865,3.077257904,3.342837976,2.933231872,3.404925405,
Jonathan Loáisiga,761,3.474284172,,3.757055935,1.924132431,4.155032947,2.374884594,,
Jordan Romano,989,3.489507437,3.847583158,,3.228905865,,,,
JP Sears,1079,3.495813424,3.643122144,4.25864808,3.341359852,3.003787887,,,
José Suarez,1783,3.496371208,3.348881227,3.086790255,2.769166855,4.240878396,3.708442649,,
Chris Devenski,241,3.499678698,4.820264042,,3.15152218,2.242649717,,,
Kirk McCarty,574,3.505262527,3.363545953,,3.360499152,4.892206915,3.651867371,3.705265389,
Nick Lodolo,1779,3.506534109,5.42418757,3.915154274,2.929148288,4.033059635,2.762854874,,
Camilo Doval,1121,3.513175626,4.142491601,4.926007422,2.174427423,,,4.323102161,
George Kirby,2092,3.515985107,3.612216663,4.221750099,2.59029498,3.987467888,3.782967414,,
Clarke Schmidt,930,3.517343069,4.387353913,4.221760182,2.612441333,6.321881573,3.081464027,,
Lance McCullers Jr.,759,3.521859549,,4.661163666,2.012757668,3.527608405,3.368394338,6.080901982,
Cristian Javier,2554,3.526922936,3.568415611,,2.687150098,6.450019023,4.63992633,,
Brett Martin,750,3.5291922,4.38153914,4.319701642,2.96429745,,2.950025744,,
Mark Melancon,886,3.534538814,4.765683311,,,,3.583496275,3.490638912,
Héctor Neris,1012,3.543936282,3.825419732,3.626959762,3.06247379,,,,3.248302105
Joe Barlow,554,3.549647304,4.105242865,4.148826776,3.190488442,,4.118285849,,
Dylan Cease,3120,3.554613528,4.250323632,,2.608018155,3.971222085,4.439270472,,
A.J. Puk,1072,3.557639884,3.924615197,4.988182773,2.623026037,,,,
John Brebbia,1091,3.558898926,3.49521765,,3.613575239,,,,
Blake Snell,2341,3.56992197,4.036839816,,2.498592434,4.748274293,3.192681926,,
Jon Gray,2062,3.573214786,4.092349895,,2.456017812,4.907822788,4.182570737,,
Joe Jiménez,937,3.577714718,3.428658344,,3.629793082,5.094666491,,,
Kyle Finnegan,1053,3.579309998,,3.526603313,3.300621074,,,,4.46968897
Frankie Montas,2327,3.579488635,3.719812657,4.142684801,3.280490909,,,3.574052608,3.125700658
Jorge López,1161,3.585953404,3.7114341,3.740876582,3.29893948,3.570067522,3.32842655,,
Luke Bard,241,3.587220256,4.682865533,,2.773486611,,3.542901257,3.743353243,
José Berríos,2721,3.588644693,4.045059369,3.510921531,,3.806858032,3.139400348,,
Beau Brieske,1287,3.593068897,4.331906484,5.954154073,3.57631706,1.359828922,3.615099567,,
Shane Bieber,2875,3.594253845,3.617821305,,3.7553083,4.42354261,3.522216719,3.224774839,
Ryan Yarbrough,1355,3.603855515,,5.142947344,,4.260815722,2.665668216,3.941360974,
Nick Vespi,446,3.603903276,3.47997086,,3.834189906,,3.398470075,,
Yimi García,1039,3.604697806,2.766331304,4.665546621,3.770722522,5.905054138,3.733209779,,
Alex Cobb,2418,3.608985136,,4.048947689,,,3.516340538,,3.198264449
Shane Baz,444,3.622856705,3.814599884,,2.771138933,4.634547763,5.436605268,,
Darren O'Day,385,3.636764057,3.439274091,2.371903676,4.043931633,,,,
Dylan Floro,863,3.639413964,4.657516014,2.998509263,3.651173706,3.34356946,,,
Luis Severino,1639,3.639476402,3.695800273,,3.252040793,4.244828214,,2.919170271,
Eli Morgan,1017,3.640106506,4.108031384,,3.794688614,2.820266526,,,
Jimmy Herget,996,3.648492785,8.90186606,4.390949824,3.080479928,5.088616213,2.853407581,,
David Bednar,842,3.655491884,3.652061624,,,,4.516920698,,2.161944174
Graham Ashcraft,1756,3.655559721,4.109532456,5.171972026,3.242143604,,,3.361286742,
Seranthony Domínguez,823,3.655776978,3.793753181,3.580853655,3.534695587,3.642594599,,,
Logan Gilbert,3015,3.658781589,3.424717333,4.523416254,3.502685021,4.874820708,4.127448543,,
Seth Martinez,592,3.660835529,4.136143954,3.945277874,2.058313583,5.382828151,,5.280991114,
Jordan Montgomery,2715,3.661706543,4.961970867,3.906416822,,3.033151364,2.779171769,4.480823475,
Rich Hill,1990,3.665201796,4.456173007,,1.563853601,6.373919624,3.207358959,3.788085302,
Tanner Houck,918,3.670619202,4.707736145,3.538902395,3.14499668,,,,3.917772284
Drew Smith,780,3.670783333,3.861475405,5.46829299,3.055616509,5.239786981,4.08308773,,
Bailey Ober,854,3.677847726,3.512339843,,3.743190822,3.766671905,4.160492083,,
José Alvarado,881,3.678162219,5.823053009,4.197262091,,,,2.997005425,
Luis Castillo,2506,3.679611984,3.803806319,4.346267235,2.622100077,3.787732754,,,
Pablo López,2910,3.681352403,3.813344551,3.335743626,,3.307791387,4.018852618,4.496553203,
Corey Kluber,2454,3.682720277,5.626861894,4.753208965,,4.916267111,2.852189321,3.133440641,
Robert Stephenson,914,3.682728471,3.976226993,,3.353141011,,4.416396356,,
Daniel Bard,953,3.690256783,4.114302828,4.786931138,2.398366708,3.01442549,,,
Tim Mayza,731,3.693236991,,3.41734323,5.005359846,,,,
Hunter Brown,309,3.694171968,3.961491047,,3.810847323,,3.459483157,,
Sam Hentges,944,3.697421412,4.178372015,3.694199885,3.270097195,,3.228394267,,
Jameson Taillon,2805,3.700458613,3.644808539,4.131043351,3.296317042,4.158112137,3.568610723,3.972331281,
José Urquidy,2640,3.701278346,3.774317648,,3.302279263,3.266895005,4.042645833,4.414103749,
Jalen Beeks,999,3.706716068,3.643255321,,,3.714509345,,4.975913491,
Carlos Carrasco,2412,3.707348874,4.268193208,3.935406873,3.693992328,2.629695924,4.667282041,,
Louie Varland,411,3.710223858,3.839678915,,4.401745918,3.232492544,,2.787165692,
Ken Waldichuk,586,3.714385106,3.791332106,,3.079895054,3.704832241,4.744011315,,
Zack Littell,758,3.721964901,3.764174643,,3.47764655,,,,4.303652643
Jake Woodford,697,3.733682461,4.169062091,4.060365122,2.893633037,4.753754817,3.603048213,,
Elieser Hernandez,1095,3.734378264,3.956883445,4.899780718,2.23029683,6.509946712,,,
Steven Okert,968,3.737257227,5.240122572,,3.12920128,,,,
Triston McKenzie,2807,3.73898241,3.482616058,,4.351109384,,3.784205879,,
Sean Poppen,439,3.740068125,,3.95793517,3.717705996,,,,
Kyle Wright,2697,3.741697978,4.927321361,3.524735925,3.586580201,3.841767984,3.253775098,,
Erik Swanson,880,3.748255949,3.928743955,,4.005097204,,,,3.273841968
Noah Syndergaard,2026,3.749467906,4.253996913,3.918804648,3.436755929,4.0035982,2.68597708,,
Matt Manning,990,3.752100869,3.7620238,4.275522362,2.806965304,5.195423384,4.350723288,,
Brady Singer,2376,3.75277365,,3.849265544,3.303869556,5.457823143,,,
Bailey Falter,1295,3.755152748,3.582376288,3.769145623,3.787955102,5.608244753,3.749942366,,
Phoenix Sanders,215,3.75688128,4.407461183,,3.364672266,,4.69172744,,
Taijuan Walker,2500,3.75861488,4.45451014,4.087441588,3.571800612,,3.788329415,4.683598064,2.813927681
Dauri Moreta,613,3.759840725,3.792106726,3.336449516,4.338345311,3.697213936,,,
Chris Bassitt,2886,3.761960315,4.225822137,4.13427702,2.609584179,5.333727275,3.315525648,3.573088539,
Robert Suarez,801,3.764832183,3.384192353,4.719199127,,3.847154035,3.464596972,3.953563349,
Jordan Hicks,1051,3.765880916,,4.123821854,2.951617573,6.876432321,,,
Alex Wood,2239,3.76831008,,3.854914056,3.295419637,4.472955253,,,
Drew Smyly,1814,3.76874449,4.791483798,4.184541804,,,3.350307303,4.83811327,
Trevor Williams,1407,3.77002112,3.338090038,3.878033085,3.844111773,5.440804129,3.829132816,,
Michael Rucker,914,3.772115289,4.504171948,,3.139159836,3.502225134,3.667902037,3.008911701,
Connor Overton,469,3.774929393,4.117132843,4.232261954,3.389525386,3.461153428,3.636457898,,
Josh Fleming,662,3.775114659,,3.557402912,,5.082707387,2.993721469,3.570951141,
Braxton Garrett,1436,3.776796168,4.561438369,3.185581135,3.530341431,4.815240308,3.271884054,,
Erasmo Ramírez,1222,3.779528761,3.757187695,4.081080037,,4.939966454,3.866945478,3.423896657,
Dylan Coleman,1205,3.784347085,4.209680328,,3.315539103,,,,
Jesús Luzardo,1644,3.785666634,3.755181641,4.322180494,3.999140557,2.716227253,4.164176557,,
Garrett Richards,708,3.78841424,4.534639522,,2.888787483,4.68479113,,,
Sean Manaea,2482,3.79223092,,3.673973724,3.301407682,4.214137256,4.346171277,,
Clay Holmes,981,3.792840448,,4.085473492,2.660571612,,,,
Taylor Rogers,1085,3.793433945,,4.969485472,2.936899769,,,,
Richard Bleier,768,3.793918509,6.391349584,3.135752281,3.944010453,4.035747449,,4.641140364,
Nick Sandlin,740,3.79493644,4.309664206,3.79555618,3.568298991,,,,4.557299652
Trevor Megill,774,3.795092773,3.96597827,,2.649404318,,4.103798484,,
Domingo Germán,1081,3.802093084,3.859508545,4.803713172,,3.437984793,3.648392073,,
Kutter Crawford,1296,3.802790412,4.011254268,,2.812248525,6.755621802,3.558165625,3.222613558,
Freddy Peralta,1353,3.806354229,3.766942083,4.736067404,3.412520399,5.631939064,3.1108744,,
Tanner Rainey,521,3.80748113,4.18992305,,2.889507821,,,,
Merrill Kelly,3071,3.808091048,4.3276999,4.099277829,,2.87201297,3.828326388,3.845681823,
Luis Garcia,2468,3.808865693,3.938972355,,3.568327453,3.198327212,4.011158176,3.82485647,
Joe Musgrove,2835,3.818648702,4.446444444,3.664507188,3.263843044,4.494420152,3.967625213,3.430481799,
Austin Warren,266,3.820263386,4.247180866,3.827088059,3.887100577,,,,
Marco Gonzales,2838,3.822702543,4.062256371,5.014204253,,2.518102284,3.526055745,4.752091497,
Tylor Megill,791,3.826730218,3.803532219,,3.766204379,4.037202089,5.279280236,,
Peter Strzelecki,605,3.83215114,4.275918703,4.971503632,2.845766189,4.424892087,,,
Miles Mikolas,3152,3.836182646,4.215983003,4.277104001,3.117977576,3.604290987,3.792209886,,
Brandon Hughes,973,3.838769902,4.092052614,4.599123467,3.812684677,,,,
Luis Ortiz,275,3.838908195,4.888216965,,2.682206268,,,,
Jeff Brigham,419,3.850428263,4.633113147,,3.333060289,,,,
Shawn Armstrong,1047,3.851493382,4.151917335,3.608853767,3.032308863,,,4.066306694,
Marcus Stroman,2181,3.858644045,4.264265739,4.191782627,2.559490728,,,3.807623078,5.593988113
Bryan Abreu,1019,3.859946235,4.690353588,,3.215430207,,3.460771388,,
Sam Moll,737,3.861979558,,5.126946248,2.855945193,,,,
Tyler Mahle,2101,3.864524378,3.543138026,,4.179995259,,,3.885645507,4.399970451
Alexis Díaz,1077,3.865540989,3.763789603,,4.291083004,,,,
Fernando Cruz,260,3.871671503,5.060104181,,3.967701342,,,,4.620875838
Mason Thompson,368,3.885833637,,4.270794487,3.231529115,,,,
Trevor Rogers,1940,3.886730729,4.378856606,,2.6390955,3.743063599,,,
Daulton Jefferies,611,3.88788928,3.812826122,4.364175871,,2.369424053,4.940027944,3.83613486,
Zack Kelly,222,3.890631141,3.940306376,,4.843018499,3.965552905,,,
Alek Manoah,2949,3.894532905,3.968508557,4.38968779,3.140112092,4.340658232,,,
Paolo Espino,1873,3.895925903,4.687406178,,2.875647787,4.477916211,3.176468596,,
José Quijada,691,3.89989509,3.758418336,,3.320848635,5.23108369,,,
Jonathan Hernández,511,3.903779921,,4.333215487,3.672324937,3.596013515,,,
Nick Martinez,1720,3.904494522,4.195906401,4.658292562,,3.63366929,3.858315932,3.281777175,
Cole Irvin,2610,3.904796621,4.300307514,4.094054417,4.207041166,3.378441213,3.450217113,,
DL Hall,269,3.914071153,4.962020623,,2.573202021,3.799210593,,,
Seth Lugo,1079,3.921770771,3.945006812,4.300567261,3.907701511,,3.841650549,,
