Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Marco Gonzales,1057,3.995174718,,3.715147196,,3.642244458,4.052554091,4.686503537,,5.18188,0.455114823,0.240083507,0.30480167,0.150313152
Deivi García,532,4.016277572,3.83237112,,4.962549353,3.535269805,4.745732488,,,5.271446,0.511111111,0.133333333,0.355555556,0.155555556
Nick Tropeano,242,4.01650587,4.017496753,,5.143508766,4.56367952,,,2.860938025,5.5015955,0.592592593,0.148148148,0.259259259,0.333333333
Tim Hill,348,4.026329041,3.007633747,4.802551219,5.443871544,,,,,4.985101,0.428571429,0.2,0.371428571,0.057142857
Tommy Hunter,410,4.045776883,,5.361876195,,,2.982167483,3.480799712,,4.76533,0.388235294,0.194117647,0.417647059,-0.029411765
Justin Wilson,345,4.051777985,4.203140224,,,,,4.685541385,,5.2101,0.492146597,0.214659686,0.293193717,0.19895288
Noé Ramirez,336,4.058830988,4.150461496,,,4.177313452,3.825764876,,,5.212721,0.490384615,0.134615385,0.375,0.115384615
Chris Bassitt,946,4.074511331,4.292763749,4.10182003,2.786418688,3.516364263,4.205583528,4.587828677,,5.030197,0.487465181,0.203342618,0.309192201,0.178272981
Charlie Morton,660,4.079791019,5.472374838,4.101208469,,,2.725809548,4.015916222,,5.6531215,0.600938967,0.154929577,0.244131455,0.356807512
Codi Heuer,374,4.086536569,,3.99679055,4.066488674,5.299240123,,,,5.1387258,0.508064516,0.173387097,0.318548387,0.189516129
Brent Suter,516,4.086544479,3.301205193,7.750338011,,5.579703281,5.611027369,,,3.9450364,0.285714286,0.257142857,0.457142857,-0.171428571
Kyle Zimmer,373,4.092065562,4.971375108,,3.235825002,,4.274588795,,,5.0815697,0.326923077,0.269230769,0.403846154,-0.076923077
Tyler Clippard,416,4.092757592,6.137941862,4.580504255,,2.21881509,6.829721911,,4.013368828,4.206463,0.206896552,0.103448276,0.689655172,-0.482758621
Germán Márquez,1226,4.101401068,4.853646436,4.915923475,3.417905793,4.550249813,2.950334644,,,4.8697457,0.433333333,0.166666667,0.4,0.033333333
Tanner Rainey,299,4.101613154,4.096572581,,4.109454525,,,,,4.9964547,0.418803419,0.170940171,0.41025641,0.008547009
Garrett Richards,788,4.103725285,4.229433786,4.853302463,3.875653802,,3.603182882,,,5.01757,0.469444444,0.188888889,0.341666667,0.127777778
Matt Shoemaker,446,4.106487185,3.637016669,4.703677242,3.177228495,,3.469066868,,5.03178368,4.760862,0.456692913,0.133858268,0.409448819,0.047244094
Daniel Bard,404,4.122250944,4.353524164,5.104950046,2.878946943,5.225907852,,,,4.784147,0.38,0.16,0.46,-0.08
Buck Farmer,341,4.129812241,4.808782677,,3.174121058,3.459270487,,,,5.334356,0.477477477,0.207207207,0.315315315,0.162162162
Daniel Norris,490,4.130264834,5.551125881,,2.588659886,3.257282556,,,,4.814389,0.369098712,0.210300429,0.420600858,-0.051502146
Sean Manaea,812,4.133050707,4.566440225,,2.64717409,3.374278567,4.693128559,,,4.821498,0.340206186,0.206185567,0.453608247,-0.113402062
Tyler Rogers,458,4.133819308,3.961379909,6.639475541,,,3.764239765,,,5.260862,0.487804878,0.146341463,0.365853659,0.12195122
Josh Tomlin,575,4.134931933,5.412704523,,,5.154795028,4.78441341,3.324440955,,4.588345,0.222222222,0.37037037,0.407407407,-0.185185185
Stefan Crichton,402,4.138292166,,4.294078488,,,4.509238118,,,4.9311686,0.466216216,0.155405405,0.378378378,0.087837838
Tanner Houck,265,4.139013851,4.706320442,3.113904004,4.608675923,,,,,5.4236255,0.507692308,0.2,0.292307692,0.215384615
Zach Plesac,776,4.141365327,4.394321596,,3.361099128,4.579231817,4.216777407,,,5.209743,0.45754717,0.226415094,0.316037736,0.141509434
Emilio Pagán,366,4.152446053,4.227694355,,,,,4.243487013,,5.1271667,0.469230769,0.2,0.330769231,0.138461538
Wandy Peralta,488,4.153166422,5.49628957,5.735451896,4.076200618,2.767316786,,,,4.7724924,0.379310345,0.172413793,0.448275862,-0.068965517
Chad Green,425,4.159765367,4.287212587,,4.679744802,,3.347121502,,,5.410869,0.576271186,0.169491525,0.254237288,0.322033898
Julian Merryweather,233,4.173453404,4.833140478,,4.162229286,,3.946054512,,,5.314255,0.470588235,0.274509804,0.254901961,0.215686275
Duane Underwood Jr.,335,4.174068943,4.799739517,,,4.107622725,4.26156353,,,5.1361036,0.452631579,0.189473684,0.357894737,0.094736842
Wade LeBlanc,367,4.176654873,,5.767723961,,4.309915329,4.574315772,3.406993312,,4.613098,0.408450704,0.14084507,0.450704225,-0.042253521
Trevor Rosenthal,381,4.179905206,4.286780292,,3.995410149,5.031746846,,,,5.0670853,0.455938697,0.206896552,0.337164751,0.118773946
Masahiro Tanaka,769,4.187433879,4.103866246,6.934568455,3.594022698,,3.254462251,,5.191623467,4.7574506,0.316091954,0.224137931,0.459770115,-0.143678161
Hyun Jin Ryu,1132,4.187550559,5.085230036,4.474761576,5.852834065,3.060061263,3.304609715,4.424037986,,5.4459696,0.55704698,0.161073826,0.281879195,0.275167785
Lance Lynn,1408,4.198433286,4.279445947,4.804428347,,5.955473089,4.637812044,3.289368942,,5.125908,0.481430536,0.191196699,0.327372765,0.154057772
Spencer Turnbull,963,4.209578032,4.43861699,4.884102704,2.889218468,3.309505436,6.821931408,,,5.583059,0.51,0.285,0.205,0.305
Luis Garcia,203,4.212608234,5.845873032,,,2.017290064,4.84456177,,,4.5906935,0.403669725,0.19266055,0.403669725,0
Dallas Keuchel,960,4.229351807,,4.937923416,4.466690408,3.957718555,,3.951259493,,5.0948668,0.417910448,0.152985075,0.429104478,-0.01119403
John Gant,240,4.233874257,5.285205548,5.724256727,,2.338604036,3.343445333,2.877283414,,5.710887,0.590163934,0.163934426,0.245901639,0.344262295
Aaron Civale,1201,4.239275133,4.891792426,5.622138628,3.812463549,4.95778859,3.862177437,3.158200569,,5.2188363,0.429133858,0.263779528,0.307086614,0.122047244
John Curtiss,384,4.239877625,4.58343804,,3.79345516,,,,,5.1705976,0.443113772,0.251497006,0.305389222,0.137724551
Jonathan Loáisiga,394,4.241061003,4.11305324,4.685950514,,4.422968304,3.855782598,,,5.1104417,0.5,0.148148148,0.351851852,0.148148148
Pablo López,903,4.243936051,4.341567055,4.829431167,,3.421683788,4.43085064,5.13303297,,4.9864717,0.375,0.171875,0.453125,-0.078125
Lance McCullers Jr.,884,4.246492143,5.205379746,4.401978823,,5.221113629,3.608347422,,,5.0263743,0.456090652,0.155807365,0.388101983,0.067988669
Rich Hill,619,4.246585188,4.778605446,,,,3.942982129,6.642449208,,4.270393,0.173913043,0.304347826,0.52173913,-0.347826087
Ryne Harper,408,4.251461405,5.270208912,,3.780545169,,2.886922713,,,5.318917,0.523809524,0.243386243,0.232804233,0.291005291
Brandon Kintzler,343,4.253800902,,4.122612167,4.096088501,5.509396517,,,,4.9368224,0.472222222,0.111111111,0.416666667,0.055555556
Ljay Newsome,255,4.255083287,4.809742148,,,5.128069259,2.483109515,,,4.91049,0.452380952,0.222222222,0.325396825,0.126984127
Jesús Luzardo,940,4.258928978,4.596733809,4.069862958,4.619672208,3.863506027,5.13317863,,,5.1251526,0.459701493,0.2,0.340298507,0.119402985
Zack Greinke,1060,4.265008272,5.120247465,3.506780881,4.111936479,4.186705631,3.286558456,3.749749221,,5.3062754,0.481132075,0.221698113,0.297169811,0.183962264
Cody Stashak,223,4.265692647,4.990720398,,3.693334789,,,,,5.162768,0.466666667,0.144444444,0.388888889,0.077777778
Ty Buttrey,428,4.272596335,4.620563889,,5.163245885,2.479356456,,,,5.6766744,0.482352941,0.211764706,0.305882353,0.176470588
Jimmy Cordero,424,4.273294258,5.626715505,4.175459949,3.96416667,5.512150004,,,,5.0867844,0.464,0.2,0.336,0.128
A.J. Minter,397,4.277958914,4.666333803,,,5.713172278,,3.519283632,,4.8231196,0.364864865,0.189189189,0.445945946,-0.081081081
Tyler Anderson,954,4.283226653,4.00323264,4.983626457,,4.520396787,,4.699562527,,4.8236966,0.459016393,0.081967213,0.459016393,0
Matt Foster,436,4.283561618,4.559170506,,4.412466325,3.799137766,,,,4.8876495,0.421686747,0.228915663,0.34939759,0.072289157
Dylan Bundy,1018,4.285191725,4.121136766,5.146934577,4.115039708,4.277697715,4.469070778,,,5.0694795,0.431547619,0.217261905,0.351190476,0.080357143
Oliver Pérez,281,4.287690904,3.593142342,3.808461232,4.990783705,,,,,4.7808194,0.41322314,0.140495868,0.446280992,-0.033057851
Tejay Antone,593,4.289762101,,6.44428546,3.277431775,,2.194767748,,,5.447622,0.550847458,0.169491525,0.279661017,0.271186441
Anthony Bass,385,4.297195534,,5.042728167,4.571635867,,,,,4.6924524,0.409326425,0.165803109,0.424870466,-0.015544041
Shawn Armstrong,237,4.30305837,5.055997542,,3.951547704,,,3.77122577,,5.2149997,0.463917526,0.216494845,0.319587629,0.144329897
Sam Coonrod,297,4.303887801,3.558810463,4.381832232,,4.737425069,4.898465558,4.42422499,,5.240395,0.530612245,0.12244898,0.346938776,0.183673469
Luis Cessa,360,4.326604051,5.177781971,4.158062965,4.468020306,4.078998968,,,,5.1784997,0.488372093,0.162790698,0.348837209,0.139534884
David Hale,282,4.327589147,3.764404655,5.437345724,,4.369219,4.414270625,,,5.2779913,0.490384615,0.221153846,0.288461538,0.201923077
Tyler Matzek,483,4.332360103,4.164317164,,4.427882145,,6.167031749,,,4.509713,0.228571429,0.285714286,0.485714286,-0.257142857
Brooks Raley,336,4.338514709,4.897043813,6.617553406,3.444114908,,4.923852793,4.451358767,,5.0741663,0.481481481,0.209876543,0.308641975,0.172839506
Jorge Alcala,403,4.345974286,5.737601909,,3.203086184,4.460405418,,,,5.070574,0.523809524,0.047619048,0.428571429,0.095238095
Dylan Covey,215,4.350136893,2.864086072,5.532207359,3.988515174,7.160161874,4.218335185,,,3.9953706,0.294117647,0.147058824,0.558823529,-0.264705882
Tyler Duffey,368,4.350462914,4.756104633,,3.752319654,,4.260345221,,,5.182674,0.369565217,0.326086957,0.304347826,0.065217391
Jesse Hahn,292,4.351027856,,4.6483899,,,4.70470198,,,5.0153713,0.472392638,0.165644172,0.36196319,0.110429448
Joely Rodríguez,234,4.352200458,4.65597448,4.475978259,4.969478808,3.294493426,,,,5.0525064,0.555555556,0.222222222,0.222222222,0.333333333
Brad Keller,858,4.352344141,4.508884628,6.227620687,3.229480897,,,,,4.954552,0.429850746,0.2,0.370149254,0.059701493
Dan Winkler,299,4.372422929,5.579631247,,,,3.870024982,4.321335856,,5.222464,0.472222222,0.25,0.277777778,0.194444444
