Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
John Curtiss,703,3.906950642,4.519668684,,3.288980732,,,,
Tyler Anderson,2602,3.911061909,3.91596719,4.38429772,,3.829846524,,3.877409501,
A.J. Minter,876,3.911148266,3.850985318,,,3.595723135,,4.064340814,
Dylan Coleman,109,3.911466799,4.483889772,,3.290172052,,,,
Hyun Jin Ryu,2689,3.913022374,4.598176835,4.607399031,,2.786139802,3.419330702,4.359578051,
Jameson Taillon,2372,3.915839849,3.594380536,4.345358771,3.635147558,5.540720488,4.40876506,,
Matthew Boyd,1273,3.918566429,4.569522913,3.75261015,4.08995807,2.651281741,3.764634494,,
Trevor Rogers,2169,3.925778955,4.541423769,,3.908672673,2.625664477,,,
Diego Castillo,936,3.926608625,7.092295671,5.58532599,3.035374869,,,,
Joey Krehbiel,133,3.932365723,4.018710989,,,5.267781552,,3.89703558,
Oliver Ortega,139,3.933121409,4.274823831,,,,4.028564245,,
T.J. McFarland,512,3.933482729,,3.691573837,5.261811355,4.463872895,,,
Phil Maton,1174,3.937904663,4.064458692,,3.551862223,,3.837075385,4.318503541,
Domingo Tapia,520,3.944431267,4.267224033,3.878385366,4.312520932,3.967211929,,,
Taylor Clarke,754,3.952824519,4.252357683,,3.894169399,3.537647099,,,
Dillon Tate,1042,3.953884331,,4.298664488,3.223336493,4.185599798,,,
James Norwood,94,3.963319016,4.570963174,,,,,,4.48028418
Luis Castillo,3164,3.964861096,4.877651072,4.448636962,3.457519288,3.034427899,,,
Rich Hill,2496,3.966619924,3.998551145,4.914498212,2.026272933,5.497601272,4.080815693,4.168487391,
Evan Marshall,435,3.967125683,5.722177263,4.103816253,,2.762173174,3.892336275,,
Adam Wainwright,3068,3.967394408,5.584601797,5.363166198,,3.741731081,3.02597738,3.040397658,
Aroldis Chapman,1004,3.976091374,5.078612866,2.776466277,2.804898117,,,,1.97023623
Jeffrey Springs,751,3.976156092,,3.627898861,4.668150192,3.749449715,,,
Josh Taylor,791,3.98661196,4.547410151,4.596892467,3.298919642,,4.95021188,,
Steven Matz,2557,3.987874259,,4.213076,4.431228414,3.272332141,4.079853778,,
Antonio Senzatela,2405,3.992939661,4.235456151,5.702634771,3.268306091,5.164624704,3.992507163,,
Cole Sulser,1070,3.994481699,4.286464888,,3.435361235,3.768850182,4.157629684,,
Paolo Espino,1735,3.994881859,4.400950763,,2.662869256,5.86495682,3.662418255,,
Anthony Misiewicz,894,3.996092075,3.985865543,,,,4.038460899,4.062167191,
David Robertson,208,3.99874115,,,,,3.436236219,4.428541819,
Frankie Montas,3028,4.016157997,4.126118603,4.390780685,3.71130733,,,,3.638593495
Julian Merryweather,217,4.016202486,3.647301472,,4.205163384,5.635875593,3.725843239,,
Zack Littell,993,4.017224369,4.306551248,,3.472621983,,,,5.756265799
Scott Effross,222,4.017842466,4.749907281,3.93689511,3.120674249,5.797523367,,,
Kenley Jansen,1071,4.018503383,,4.599480402,3.359550763,,,3.933288959,
Craig Stammen,1308,4.024643693,,4.221356294,4.241999558,,3.612716275,4.500920745,
Framber Valdez,2090,4.026722219,5.18911115,4.369292643,,4.049126728,3.215751096,,
Rafael Montero,872,4.038121095,3.841586669,4.096631,3.586073723,4.802357041,,,
Art Warren,338,4.038503738,5.171609827,,3.266188258,,,,
Michael King,1009,4.039548774,2.615314406,4.112823805,,4.991964807,4.059945281,4.139709292,
Derek Holland,835,4.039828614,4.529918255,4.278822943,,4.854786371,3.319356803,,
Seth Lugo,730,4.041437712,4.09909435,5.170806185,4.100675734,4.674623625,2.89455474,,
Mitch White,762,4.042561667,4.238450438,,4.025807375,,4.285309998,,
Yusmeiro Petit,1082,4.047737317,4.596702906,,,3.589596765,3.535556819,3.534617904,
Lance Lynn,2608,4.050898266,4.130115299,4.920713562,,6.724964759,5.428858574,3.47605033,
José Berríos,3043,4.051589648,4.516451389,4.162560762,,4.546182849,3.403663535,,
Casey Mize,2357,4.05274845,4.23226267,4.003870857,3.411863133,,5.257085674,,4.493176968
Tanner Houck,1149,4.057035584,5.033613052,3.403878237,3.30052068,,,,4.507578299
Lance McCullers Jr.,2788,4.057413779,,5.092850002,2.479045109,4.689539848,3.872212633,6.12223524,
Josh Osich,231,4.057747597,,6.534131876,,6.474097381,,3.831861385,
Mike Minor,2621,4.058601956,4.228569777,,3.961023195,3.972512005,3.857567005,,
Tyler Alexander,1640,4.058854728,5.359493697,4.949331013,4.055129584,3.573785872,,3.228054619,
Zack Greinke,2577,4.062248721,4.549186646,5.560085677,4.342271344,3.406960205,3.016842964,,
A.J. Puk,243,4.06840868,4.970499182,5.171007359,2.628456473,,,,
Dylan Floro,1076,4.068956852,5.490188063,3.623672483,3.356213183,3.216846935,,,
Chris Flexen,2811,4.070429814,4.625561684,,,3.366459766,4.32470327,3.551277759,
Ryan Burr,593,4.071648476,4.545419324,,5.268748902,,,3.186027216,
Tyler Matzek,1065,4.072433229,3.906904194,,4.40146026,,5.292500221,,
Sean Doolittle,866,4.072646275,3.835450216,,4.042538047,5.813287896,5.401694668,,
Yohan Ramirez,436,4.081346443,4.644225743,3.364898366,3.539558382,,,,
Shane Bieber,1559,4.082244873,4.022142662,,4.060363292,4.703112254,4.01773741,4.751001759,
Nabil Crismatt,1337,4.085572665,5.29862176,5.43820789,,3.547051292,4.51013206,,
Heath Hembree,1090,4.089233398,5.163768341,,2.939642756,,,,
