year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_IP,pitch_runs
2020,Brandon Woodruff,605540,CU,R,L,54,3.284888522,1.6048131
2020,Brandon Woodruff,605540,CU,R,R,30,1.824938068,0.5774988
2020,Brandon Woodruff,605540,FF,R,L,241,14.66033581,5.7094364
2020,Brandon Woodruff,605540,FF,R,R,161,9.793834297,2.8895955
2020,Brandon Woodruff,605540,SI,R,L,232,14.11285439,6.9291377
2020,Brandon Woodruff,605540,SI,R,R,154,9.368015414,4.015881
2020,Brandon Woodruff,605540,SL,R,L,32,1.946600606,1.1629244
2020,Brandon Woodruff,605540,SL,R,R,94,5.718139279,2.5106623
2020,Brandon Workman,519443,CU,R,L,89,4.442470389,3.4262173
2020,Brandon Workman,519443,CU,R,R,66,3.294416244,3.1979768
2020,Brandon Workman,519443,FC,R,L,60,2.994923858,1.5636268
2020,Brandon Workman,519443,FC,R,R,74,3.693739425,1.5156372
2020,Brandon Workman,519443,FF,R,L,59,2.94500846,2.2455666
2020,Brandon Workman,519443,FF,R,R,46,2.296108291,1.4725368
2020,Braxton Garrett,666129,CU,L,R,33,2.908045977,1.0675324
2020,Braxton Garrett,666129,FF,L,R,54,4.75862069,2.076859
2020,Brent Suter,608718,CH,L,R,65,4.20927062,2.3812234
2020,Brent Suter,608718,CU,L,L,27,1.748466258,1.0073724
2020,Brent Suter,608718,FF,L,L,124,8.029993183,2.6923575
2020,Brent Suter,608718,FF,L,R,248,16.05998637,5.681501
2020,Brent Suter,608718,SI,L,L,25,1.618950239,1.4196115
2020,Brett Anderson,474463,CH,L,R,176,11.45706371,4.7215886
2020,Brett Anderson,474463,CU,L,R,62,4.03601108,1.2861887
2020,Brett Anderson,474463,FC,L,R,71,4.621883657,2.6605837
